id,label,text_a,text_b
0,None,location - 1 - general,"location - 2 , location - 1"
1,None,location - 1 - price,"location - 2 , location - 1"
2,None,location - 1 - safety,"location - 2 , location - 1"
3,None,location - 1 - transit location,"location - 2 , location - 1"
4,None,location - 1 - general,location - 1 is one of the most expensive areas of london
5,Negative,location - 1 - price,location - 1 is one of the most expensive areas of london
6,None,location - 1 - safety,location - 1 is one of the most expensive areas of london
7,None,location - 1 - transit location,location - 1 is one of the most expensive areas of london
8,None,location - 1 - general,"the hard rock cafe is close by , just by location - 1"
9,None,location - 1 - price,"the hard rock cafe is close by , just by location - 1"
10,None,location - 1 - safety,"the hard rock cafe is close by , just by location - 1"
11,None,location - 1 - transit location,"the hard rock cafe is close by , just by location - 1"
12,None,location - 1 - general,"alternatively , location - 1 ' s likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month"
13,Positive,location - 1 - price,"alternatively , location - 1 ' s likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month"
14,None,location - 1 - safety,"alternatively , location - 1 ' s likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month"
15,Positive,location - 1 - transit location,"alternatively , location - 1 ' s likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month"
16,Positive,location - 1 - general,"location - 1 , se4 it is a beautiful late-victorian / edwardian suburb of south-east london"
17,None,location - 1 - price,"location - 1 , se4 it is a beautiful late-victorian / edwardian suburb of south-east london"
18,None,location - 1 - safety,"location - 1 , se4 it is a beautiful late-victorian / edwardian suburb of south-east london"
19,None,location - 1 - transit location,"location - 1 , se4 it is a beautiful late-victorian / edwardian suburb of south-east london"
20,Positive,location - 1 - general,will add to it when i think of more lol at first answer location - 1 ai n't that bad
21,None,location - 1 - price,will add to it when i think of more lol at first answer location - 1 ai n't that bad
22,None,location - 1 - safety,will add to it when i think of more lol at first answer location - 1 ai n't that bad
23,None,location - 1 - transit location,will add to it when i think of more lol at first answer location - 1 ai n't that bad
24,None,location - 1 - general,in fact i ' ve never once even seen a fight on the streets in location - 1 and i go out all the time during the week
25,None,location - 1 - price,in fact i ' ve never once even seen a fight on the streets in location - 1 and i go out all the time during the week
26,Positive,location - 1 - safety,in fact i ' ve never once even seen a fight on the streets in location - 1 and i go out all the time during the week
27,None,location - 1 - transit location,in fact i ' ve never once even seen a fight on the streets in location - 1 and i go out all the time during the week
28,None,location - 1 - general,but then again a cold wet afternoon in location - 1 or location - 2 can also be amazing
29,None,location - 1 - price,but then again a cold wet afternoon in location - 1 or location - 2 can also be amazing
30,None,location - 1 - safety,but then again a cold wet afternoon in location - 1 or location - 2 can also be amazing
31,None,location - 1 - transit location,but then again a cold wet afternoon in location - 1 or location - 2 can also be amazing
32,None,location - 1 - general,"if your budget wo n't stretch to those , you could try a bit further down the road in location - 1"
33,Positive,location - 1 - price,"if your budget wo n't stretch to those , you could try a bit further down the road in location - 1"
34,None,location - 1 - safety,"if your budget wo n't stretch to those , you could try a bit further down the road in location - 1"
35,None,location - 1 - transit location,"if your budget wo n't stretch to those , you could try a bit further down the road in location - 1"
36,None,location - 1 - general,"thanks in advance yes , location - 1 is the london station for coventry"
37,None,location - 1 - price,"thanks in advance yes , location - 1 is the london station for coventry"
38,None,location - 1 - safety,"thanks in advance yes , location - 1 is the london station for coventry"
39,None,location - 1 - transit location,"thanks in advance yes , location - 1 is the london station for coventry"
40,None,location - 1 - general,dependent on where you are but there are two options to me : - location - 1 ( location - 2 ) a lovely green area with a great view of london
41,None,location - 1 - price,dependent on where you are but there are two options to me : - location - 1 ( location - 2 ) a lovely green area with a great view of london
42,None,location - 1 - safety,dependent on where you are but there are two options to me : - location - 1 ( location - 2 ) a lovely green area with a great view of london
43,None,location - 1 - transit location,dependent on where you are but there are two options to me : - location - 1 ( location - 2 ) a lovely green area with a great view of london
44,Positive,location - 1 - general,i used to live in location - 1 and i liked it
45,None,location - 1 - price,i used to live in location - 1 and i liked it
46,None,location - 1 - safety,i used to live in location - 1 and i liked it
47,None,location - 1 - transit location,i used to live in location - 1 and i liked it
48,None,location - 1 - general,location - 1 ' s got good rail links into location - 1
49,None,location - 1 - price,location - 1 ' s got good rail links into location - 1
50,None,location - 1 - safety,location - 1 ' s got good rail links into location - 1
51,Positive,location - 1 - transit location,location - 1 ' s got good rail links into location - 1
52,Positive,location - 1 - general,location - 1 is an up-and-coming inner-london area with easy access to london and location - 1
53,None,location - 1 - price,location - 1 is an up-and-coming inner-london area with easy access to london and location - 1
54,None,location - 1 - safety,location - 1 is an up-and-coming inner-london area with easy access to london and location - 1
55,Positive,location - 1 - transit location,location - 1 is an up-and-coming inner-london area with easy access to london and location - 1
56,None,location - 1 - general,"algate , location - 1"
57,None,location - 1 - price,"algate , location - 1"
58,None,location - 1 - safety,"algate , location - 1"
59,None,location - 1 - transit location,"algate , location - 1"
60,None,location - 1 - general,some parts of outer north and west london are in location - 1 although as a county it was abolished years ago
61,None,location - 1 - price,some parts of outer north and west london are in location - 1 although as a county it was abolished years ago
62,None,location - 1 - safety,some parts of outer north and west london are in location - 1 although as a county it was abolished years ago
63,None,location - 1 - transit location,some parts of outer north and west london are in location - 1 although as a county it was abolished years ago
64,Negative,location - 1 - general,location - 1 is not a very nice borough either
65,None,location - 1 - price,location - 1 is not a very nice borough either
66,None,location - 1 - safety,location - 1 is not a very nice borough either
67,None,location - 1 - transit location,location - 1 is not a very nice borough either
68,None,location - 1 - general,"location - 1 is a bit like location - 2 , or i guess most other london suburbs"
69,None,location - 1 - price,"location - 1 is a bit like location - 2 , or i guess most other london suburbs"
70,None,location - 1 - safety,"location - 1 is a bit like location - 2 , or i guess most other london suburbs"
71,None,location - 1 - transit location,"location - 1 is a bit like location - 2 , or i guess most other london suburbs"
72,None,location - 1 - general,"because location - 1 has no busses running through it , it feels nicely tucked away"
73,None,location - 1 - price,"because location - 1 has no busses running through it , it feels nicely tucked away"
74,None,location - 1 - safety,"because location - 1 has no busses running through it , it feels nicely tucked away"
75,Negative,location - 1 - transit location,"because location - 1 has no busses running through it , it feels nicely tucked away"
76,None,location - 1 - general,we actually went from location - 1
77,None,location - 1 - price,we actually went from location - 1
78,None,location - 1 - safety,we actually went from location - 1
79,None,location - 1 - transit location,we actually went from location - 1
80,None,location - 1 - general,"just keep your wits about you , bad people are everywhere i think you ' ll find location - 1 has a lot more crimes than location - 2"
81,None,location - 1 - price,"just keep your wits about you , bad people are everywhere i think you ' ll find location - 1 has a lot more crimes than location - 2"
82,Negative,location - 1 - safety,"just keep your wits about you , bad people are everywhere i think you ' ll find location - 1 has a lot more crimes than location - 2"
83,None,location - 1 - transit location,"just keep your wits about you , bad people are everywhere i think you ' ll find location - 1 has a lot more crimes than location - 2"
84,None,location - 1 - general,"location - 1 has a lot of good restaurants and shops , it is right next to hampstead heath park"
85,None,location - 1 - price,"location - 1 has a lot of good restaurants and shops , it is right next to hampstead heath park"
86,None,location - 1 - safety,"location - 1 has a lot of good restaurants and shops , it is right next to hampstead heath park"
87,None,location - 1 - transit location,"location - 1 has a lot of good restaurants and shops , it is right next to hampstead heath park"
88,None,location - 1 - general,location - 1 is the place for you i ' d like to rent a place and i ' ve found a lovely apartment off of oxford street but i ' d like to know what ' s the best area and look at some more properties before i make a decision
89,None,location - 1 - price,location - 1 is the place for you i ' d like to rent a place and i ' ve found a lovely apartment off of oxford street but i ' d like to know what ' s the best area and look at some more properties before i make a decision
90,None,location - 1 - safety,location - 1 is the place for you i ' d like to rent a place and i ' ve found a lovely apartment off of oxford street but i ' d like to know what ' s the best area and look at some more properties before i make a decision
91,None,location - 1 - transit location,location - 1 is the place for you i ' d like to rent a place and i ' ve found a lovely apartment off of oxford street but i ' d like to know what ' s the best area and look at some more properties before i make a decision
92,Negative,location - 1 - general,"but location - 1 is one big dump i do n't know where you got that information from , but it ' s not true"
93,None,location - 1 - price,"but location - 1 is one big dump i do n't know where you got that information from , but it ' s not true"
94,None,location - 1 - safety,"but location - 1 is one big dump i do n't know where you got that information from , but it ' s not true"
95,None,location - 1 - transit location,"but location - 1 is one big dump i do n't know where you got that information from , but it ' s not true"
96,None,location - 1 - general,for baker st try location - 1 a borough north of baker st cheaper and easier to get to and from
97,Positive,location - 1 - price,for baker st try location - 1 a borough north of baker st cheaper and easier to get to and from
98,None,location - 1 - safety,for baker st try location - 1 a borough north of baker st cheaper and easier to get to and from
99,Positive,location - 1 - transit location,for baker st try location - 1 a borough north of baker st cheaper and easier to get to and from
100,Positive,location - 1 - general,"location - 1 is quite open , green and well kept"
101,None,location - 1 - price,"location - 1 is quite open , green and well kept"
102,None,location - 1 - safety,"location - 1 is quite open , green and well kept"
103,None,location - 1 - transit location,"location - 1 is quite open , green and well kept"
104,Positive,location - 1 - general,i ' d certainly prefer location - 1 to location - 1
105,None,location - 1 - price,i ' d certainly prefer location - 1 to location - 1
106,None,location - 1 - safety,i ' d certainly prefer location - 1 to location - 1
107,None,location - 1 - transit location,i ' d certainly prefer location - 1 to location - 1
108,Negative,location - 1 - general,location - 1 is a little dodgy but in a sense it ' s more run down and just looks quite worrying to walk alone there
109,None,location - 1 - price,location - 1 is a little dodgy but in a sense it ' s more run down and just looks quite worrying to walk alone there
110,Negative,location - 1 - safety,location - 1 is a little dodgy but in a sense it ' s more run down and just looks quite worrying to walk alone there
111,None,location - 1 - transit location,location - 1 is a little dodgy but in a sense it ' s more run down and just looks quite worrying to walk alone there
112,None,location - 1 - general,location - 1 a generally a very safe area so there is no need to be scared of travelling alone
113,None,location - 1 - price,location - 1 a generally a very safe area so there is no need to be scared of travelling alone
114,Positive,location - 1 - safety,location - 1 a generally a very safe area so there is no need to be scared of travelling alone
115,None,location - 1 - transit location,location - 1 a generally a very safe area so there is no need to be scared of travelling alone
116,Negative,location - 1 - general,"i live in london , i hope you realise that location - 1 is one of the most run down areas of london and it is home to the most notorious estate in the uk"
117,None,location - 1 - price,"i live in london , i hope you realise that location - 1 is one of the most run down areas of london and it is home to the most notorious estate in the uk"
118,None,location - 1 - safety,"i live in london , i hope you realise that location - 1 is one of the most run down areas of london and it is home to the most notorious estate in the uk"
119,None,location - 1 - transit location,"i live in london , i hope you realise that location - 1 is one of the most run down areas of london and it is home to the most notorious estate in the uk"
120,Negative,location - 1 - general,"although the area has a lacklustre reputation , the housing stock around location - 1 is not cheap at all"
121,Negative,location - 1 - price,"although the area has a lacklustre reputation , the housing stock around location - 1 is not cheap at all"
122,None,location - 1 - safety,"although the area has a lacklustre reputation , the housing stock around location - 1 is not cheap at all"
123,None,location - 1 - transit location,"although the area has a lacklustre reputation , the housing stock around location - 1 is not cheap at all"
124,None,location - 1 - general,i agree location - 1 is a little better and easy to commute to location - 1
125,None,location - 1 - price,i agree location - 1 is a little better and easy to commute to location - 1
126,None,location - 1 - safety,i agree location - 1 is a little better and easy to commute to location - 1
127,Positive,location - 1 - transit location,i agree location - 1 is a little better and easy to commute to location - 1
128,Negative,location - 1 - general,"location - 1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space"
129,Positive,location - 1 - price,"location - 1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space"
130,None,location - 1 - safety,"location - 1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space"
131,None,location - 1 - transit location,"location - 1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space"
132,None,location - 1 - general,location - 1 station is about a ten minute train ride from the main station at location - 1
133,None,location - 1 - price,location - 1 station is about a ten minute train ride from the main station at location - 1
134,None,location - 1 - safety,location - 1 station is about a ten minute train ride from the main station at location - 1
135,Positive,location - 1 - transit location,location - 1 station is about a ten minute train ride from the main station at location - 1
