id,label,text_a,text_b
0,none,price,But the staff was so horrible to us.
1,none,anecdotes,But the staff was so horrible to us.
2,none,food,But the staff was so horrible to us.
3,none,ambience,But the staff was so horrible to us.
4,negative,service,But the staff was so horrible to us.
5,none,price,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
6,negative,anecdotes,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
7,positive,food,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
8,none,ambience,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
9,none,service,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
10,none,price,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
11,none,anecdotes,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
12,positive,food,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
13,none,ambience,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
14,none,service,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
15,none,price,Where Gabriela personaly greets you and recommends you what to eat.
16,none,anecdotes,Where Gabriela personaly greets you and recommends you what to eat.
17,none,food,Where Gabriela personaly greets you and recommends you what to eat.
18,none,ambience,Where Gabriela personaly greets you and recommends you what to eat.
19,positive,service,Where Gabriela personaly greets you and recommends you what to eat.
20,none,price,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
21,positive,anecdotes,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
22,none,food,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
23,none,ambience,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
24,none,service,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
25,none,price,"Not only was the food outstanding, but the little 'perks' were great."
26,none,anecdotes,"Not only was the food outstanding, but the little 'perks' were great."
27,positive,food,"Not only was the food outstanding, but the little 'perks' were great."
28,none,ambience,"Not only was the food outstanding, but the little 'perks' were great."
29,positive,service,"Not only was the food outstanding, but the little 'perks' were great."
30,negative,price,It is very overpriced and not very tasty.
31,none,anecdotes,It is very overpriced and not very tasty.
32,negative,food,It is very overpriced and not very tasty.
33,none,ambience,It is very overpriced and not very tasty.
34,none,service,It is very overpriced and not very tasty.
35,none,price,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
36,none,anecdotes,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
37,positive,food,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
38,none,ambience,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
39,positive,service,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
40,none,price,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
41,none,anecdotes,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
42,positive,food,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
43,none,ambience,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
44,none,service,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
45,none,price,Nevertheless the food itself is pretty good.
46,none,anecdotes,Nevertheless the food itself is pretty good.
47,positive,food,Nevertheless the food itself is pretty good.
48,none,ambience,Nevertheless the food itself is pretty good.
49,none,service,Nevertheless the food itself is pretty good.
50,none,price,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
51,none,anecdotes,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
52,none,food,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
53,neutral,ambience,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
54,none,service,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
