id,label,text_a,text_b
0,none,what do you think of the price of it ?,But the staff was so horrible to us.
1,none,what do you think of the anecdotes of it ?,But the staff was so horrible to us.
2,none,what do you think of the food of it ?,But the staff was so horrible to us.
3,none,what do you think of the ambience of it ?,But the staff was so horrible to us.
4,negative,what do you think of the service of it ?,But the staff was so horrible to us.
5,none,what do you think of the price of it ?,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
6,negative,what do you think of the anecdotes of it ?,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
7,positive,what do you think of the food of it ?,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
8,none,what do you think of the ambience of it ?,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
9,none,what do you think of the service of it ?,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
10,none,what do you think of the price of it ?,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
11,none,what do you think of the anecdotes of it ?,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
12,positive,what do you think of the food of it ?,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
13,none,what do you think of the ambience of it ?,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
14,none,what do you think of the service of it ?,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
15,none,what do you think of the price of it ?,Where Gabriela personaly greets you and recommends you what to eat.
16,none,what do you think of the anecdotes of it ?,Where Gabriela personaly greets you and recommends you what to eat.
17,none,what do you think of the food of it ?,Where Gabriela personaly greets you and recommends you what to eat.
18,none,what do you think of the ambience of it ?,Where Gabriela personaly greets you and recommends you what to eat.
19,positive,what do you think of the service of it ?,Where Gabriela personaly greets you and recommends you what to eat.
20,none,what do you think of the price of it ?,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
21,positive,what do you think of the anecdotes of it ?,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
22,none,what do you think of the food of it ?,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
23,none,what do you think of the ambience of it ?,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
24,none,what do you think of the service of it ?,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
