id,text_a,label
0,EU rejects German call to boycott British lamb .,"['NNP', 'VBZ', 'JJ', 'NN', 'TO', 'VB', 'JJ', 'NN', '.']"
1,Peter Blackburn,"['NNP', 'NNP']"
2,BRUSSELS 1996-08-22,"['NNP', 'CD']"
3,The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .,"['DT', 'NNP', 'NNP', 'VBD', 'IN', 'NNP', 'PRP', 'VBD', 'IN', 'JJ', 'NN', 'TO', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'IN', 'NNS', 'VBP', 'IN', 'JJ', 'NN', 'NN', 'MD', 'VB', 'VBN', 'TO', 'NN', '.']"
4,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,"['NNP', 'POS', 'NN', 'TO', 'DT', 'NNP', 'NNP', 'POS', 'JJ', 'NN', 'NNP', 'NNP', 'VBD', 'IN', 'NNP', 'NNS', 'MD', 'VB', 'NN', 'IN', 'NNS', 'JJ', 'IN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'VBD', 'JJR', '.']"
5,""" We do n't support any such recommendation because we do n't see any grounds for it , "" the Commission 's chief spokesman Nikolaus van der Pas told a news briefing .","['""', 'PRP', 'VBP', 'RB', 'VB', 'DT', 'JJ', 'NN', 'IN', 'PRP', 'VBP', 'RB', 'VB', 'DT', 'NNS', 'IN', 'PRP', ',', '""', 'DT', 'NNP', 'POS', 'JJ', 'NN', 'NNP', 'NNP', 'FW', 'NNP', 'VBD', 'DT', 'NN', 'NN', '.']"
6,He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .,"['PRP', 'VBD', 'JJ', 'JJ', 'NN', 'VBD', 'VBN', 'CC', 'IN', 'PRP', 'VBD', 'VBN', 'IN', 'NN', 'VBD', 'VBN', 'PRP', 'MD', 'VB', 'VBN', 'IN', 'DT', 'NNP', 'NNP', '.']"
7,"He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .","['PRP', 'VBD', 'DT', 'NN', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'TO', 'VB', 'NN', 'NNS', ',', 'NNS', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'CC', 'NN', 'NN', 'NNS', 'VBD', 'DT', 'RB', 'JJ', 'CC', 'JJ', 'NN', 'TO', 'VB', 'JJ', 'NN', '.']"
8,Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .,"['JJR', 'VBN', 'NNP', 'VBZ', 'IN', 'NNS', 'IN', 'NNP', 'CC', 'NNP', 'WDT', 'IN', 'NN', 'NNS', 'NN', 'MD', 'VB', 'NNP', 'NNP', 'NNP', '(', 'NNP', ')', ':', 'JJ', 'NN', 'NN', '.']"
9,"But Fischler agreed to review his proposal after the EU 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .","['CC', 'NNP', 'VBD', 'TO', 'VB', 'PRP$', 'NN', 'IN', 'DT', 'NNP', 'POS', 'NN', 'JJ', 'NN', ',', 'JJ', 'NN', 'NN', 'NNS', ',', 'VBD', 'IN', 'JJ', 'NN', 'VBD', 'VBN', 'IN', 'RB', 'VBD', 'RB', 'DT', 'JJ', 'NN', 'TO', 'JJ', 'NN', '.']"
10,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . ""","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'RBR', 'VBN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'NNS', 'POS', 'NN', 'IN', 'VBG', 'JJ', 'NN', 'IN', '""', 'JJ', 'NN', '.', '""']"
11,.,['.']
12,Only France and Britain backed Fischler 's proposal .,"['RB', 'NNP', 'CC', 'NNP', 'VBD', 'NNP', 'POS', 'NN', '.']"
13,The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .,"['DT', 'NNP', 'POS', 'JJ', 'JJ', 'CC', 'JJ', 'NNS', 'VBP', 'JJ', 'TO', 'VB', 'DT', 'NN', 'RB', 'JJ', 'NN', 'CC', 'VB', 'NNS', 'TO', 'DT', 'JJ', 'JJ', 'NNS', '.']"
14,"Sheep have long been known to contract scrapie , a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste .","['NNP', 'VBP', 'RB', 'VBN', 'VBN', 'TO', 'NN', 'NN', ',', 'DT', 'JJ', 'NN', 'JJ', 'TO', 'NNP', 'WDT', 'VBZ', 'VBN', 'TO', 'VB', 'VBN', 'VBN', 'TO', 'NNS', 'IN', 'NN', 'VBG', 'NN', 'NN', '.']"
15,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .","['JJ', 'NNS', 'VBN', 'IN', 'NNP', 'EX', 'VBD', 'DT', 'NN', 'TO', 'JJ', 'NN', 'IN', 'PRP$', 'NN', ',', 'CC', 'VBD', 'NN', 'IN', 'JJ', 'NN', 'NN', 'TO', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'MD', 'VB', 'NNS', 'IN', 'NNP', '.']"
16,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .","['""', 'WP', 'PRP', 'VBP', 'TO', 'VB', 'RB', 'JJ', 'IN', 'VBZ', 'WRB', 'JJ', 'NNS', 'VBP', 'VBG', 'TO', 'VB', 'NNP', 'POS', 'NN', ',', '""', 'NNP', 'NNP', 'NNP', 'POS', 'NNP', '(', 'NNP', ')', 'NN', 'NNP', 'NNP', 'NNP', 'VBD', 'IN', 'NNP', 'NN', '.']"
17,Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,"['NNP', 'VBZ', 'VBN', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'IN', 'NN', 'NN', 'VBD', 'IN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'VBD', 'NNS', 'MD', 'VB', 'DT', 'NN', 'JJ', 'TO', 'JJ', 'NN', 'NN', 'IN', 'VBG', 'VBN', 'NN', '.']"
18,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .","['NNP', 'VBD', 'CD', 'NN', 'IN', 'NNP', 'JJ', 'NN', ',', 'RB', 'NN', 'IN', 'JJ', 'NNS', '.']"
19,"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .","['PRP', 'VBD', 'IN', 'CD', 'NNS', 'IN', 'JJ', 'NN', ',', 'DT', 'CD', 'NN', 'IN', 'JJ', 'NNS', '.']"
20,"Rare Hendrix song draft sells for almost $ 17,000 .","['NNP', 'NNP', 'NN', 'NN', 'VBZ', 'IN', 'RB', '$', 'CD', '.']"
21,LONDON 1996-08-22,"['NNP', 'CD']"
22,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .","['DT', 'JJ', 'JJ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NN', 'NN', 'NNP', 'NNP', 'VBD', 'VBN', 'IN', 'RB', '$', 'CD', 'IN', 'NNP', 'IN', 'DT', 'NN', 'IN', 'DT', 'IN', 'DT', 'JJ', 'NN', 'POS', 'JJ', 'NNS', '.']"
23,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .","['DT', 'NNP', 'NN', 'VBD', 'CD', 'NNS', '(', '$', 'CD', ')', 'IN', 'DT', 'NN', 'IN', '""', 'VBZ', 'RB', 'DT', 'VBG', '""', ',', 'WDT', 'NNP', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NN', 'NN', 'IN', 'JJ', 'CD', '.']"
24,"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .","['IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'CD', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'PRP', 'VBD', 'DT', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', ',', 'WRB', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'NN', '.']"
25,"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .","['NNS', 'RB', 'VBD', 'RB', 'CD', 'JJ', 'NNS', 'WDT', 'VBD', 'VBN', 'RP', 'IN', 'NN', 'IN', 'NNP', 'POS', 'JJ', 'NN', 'NNP', 'NNP', ',', 'WP', 'VBD', 'IN', 'PRP', 'IN', 'CD', 'TO', 'CD', '.']"
26,"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .","['PRP', 'VBD', 'DT', 'JJ', 'NN', 'CC', 'NN', 'IN', 'NN', 'VBD', 'NN', 'VBN', 'IN', 'NNP', 'TO', 'VB', 'PRP$', 'NNS', ',', 'WDT', 'DT', 'JJ', 'JJ', 'NN', 'VBD', 'IN', 'CD', 'NNS', '(', '$', 'CD', ')', '.']"
27,The guitarist died of a drugs overdose in 1970 aged 27 .,"['DT', 'NN', 'VBD', 'IN', 'DT', 'NNS', 'NN', 'IN', 'CD', 'VBN', 'CD', '.']"
28,China says Taiwan spoils atmosphere for talks .,"['NNP', 'VBZ', 'NNP', 'VBZ', 'NN', 'IN', 'NNS', '.']"
29,BEIJING 1996-08-22,"['VBG', 'CD']"
30,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,"['NNP', 'IN', 'NNP', 'VBD', 'NNP', 'IN', 'VBG', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'IN', 'DT', 'NN', 'TO', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'DT', 'NN', 'WDT', 'VBD', 'NNP', '.']"
31,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . ""","['VBG', 'JJ', 'NNS', 'IN', 'JJ', 'NN', 'NNS', 'VBD', 'DT', 'NN', 'VBD', 'RB', 'TO', 'VB', 'IN', 'JJ', 'NNS', 'IN', 'NNP', ',', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'VBD', 'NNP', ':', '""', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNS', 'VBZ', 'VBN', 'VBN', 'IN', 'DT', 'NNP', 'NNS', '.', '""']"
32,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .","['NN', 'NNS', 'VBD', 'NNP', 'POS', 'JJ', 'NN', 'IN', 'NNP', ',', 'NNP', 'NNP', ',', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'IN', 'NNP', 'IN', 'PRP', 'VBD', 'NN', 'IN', 'DT', 'NNS', 'TO', 'VB', 'JJ', 'NNS', '.']"
33,""" Now is the time for the two sides to engage in political talks ...","['""', 'RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'CD', 'NNS', 'TO', 'VB', 'IN', 'JJ', 'NNS', ':']"
34,"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying .","['WDT', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'IN', 'NN', ',', '""', 'NNP', 'POS', 'JJ', 'NN', 'IN', 'DT', 'NNPS', 'POS', 'JJ', 'VBN', 'NNP', 'IN', 'VBG', '.']"
35,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .","['DT', 'JJ', 'NN', 'POS', 'NNP', 'VBD', 'NNP', 'NNP', 'IN', 'DT', 'NN', 'PRP', 'VBD', 'VBN', 'NNS', 'IN', 'NNP', 'POS', 'NNS', 'CC', 'VBD', 'DT', 'NNS', 'IN', 'WRB', 'DT', 'NN', 'VBD', 'VBN', 'DT', 'NN', 'RB', 'IN', 'NNS', 'IN', 'NNP', ',', 'WDT', 'NNP', 'VBZ', 'DT', 'NN', 'NN', '.']"
36,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .","['NNP', ',', 'WDT', 'VBZ', 'RB', 'VBN', 'DT', 'NNP', 'NNS', 'TO', 'VB', 'JJR', 'JJ', 'NN', ',', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'TO', 'NNP', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', '.']"
37,China says time right for Taiwan talks .,"['NNP', 'VBZ', 'NN', 'RB', 'IN', 'NNP', 'NNS', '.']"
38,BEIJING 1996-08-22,"['VBG', 'CD']"
39,China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .,"['NNP', 'VBZ', 'VBD', 'PRP', 'VBD', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NNP', 'CC', 'IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']"
40,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .","['NNS', 'MD', 'VB', 'VBN', 'TO', 'VB', 'DT', 'NN', 'CC', 'NN', 'IN', 'DT', 'NNS', ',', 'DT', 'NN', 'NNP', 'NN', 'NN', 'VBN', 'NNP', 'NNP', ',', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'IN', 'DT', 'NNP', 'NNP', ',', 'IN', 'VBG', 'RB', 'RB', 'NNP', '.']"
41,German July car registrations up 14.2 pct yr / yr .,"['NNP', 'NNP', 'NN', 'NNS', 'RB', 'CD', 'JJ', 'NN', 'SYM', 'NN', '.']"
42,FRANKFURT 1996-08-22,"['NNP', 'CD']"
43,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .","['JJ', 'JJ', 'NNS', 'IN', 'NN', 'NNS', 'VBD', 'CD', 'NN', 'IN', 'NNP', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'DT', 'NNP', 'NN', 'IN', 'NN', 'NNS', 'VBD', 'IN', 'NNP', '.']"
44,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .","['DT', 'NN', 'VBD', 'CD', 'JJ', 'NNS', 'VBD', 'VBN', 'IN', 'NNP', 'CD', ':', 'CD', 'NN', 'NNS', 'CC', 'CD', 'NNS', '.']"
45,The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .,"['DT', 'NNS', 'VBP', 'DT', 'CD', 'NN', 'NN', 'IN', 'NN', 'NNS', 'CC', 'DT', 'CD', 'NN', 'NN', 'IN', 'NNS', 'IN', 'NNP', 'CD', '.']"
46,Motor-bike registration rose 32.7 percent in the period .,"['JJ', 'NN', 'VBD', 'CD', 'NN', 'IN', 'DT', 'NN', '.']"
47,"The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .","['DT', 'NN', 'VBD', 'RB', 'JJ', 'TO', 'DT', 'VBN', 'NN', 'IN', 'NNPS', 'VBG', 'JJ', 'NNS', 'RB', ',', 'IN', 'NNS', 'VBD', 'DT', 'JJ', 'NN', 'VBD', 'JJ', ',', 'DT', 'JJ', 'NN', 'VBD', '.']"
48,Almost all German car manufacturers posted gains in registration numbers in the period .,"['RB', 'DT', 'JJ', 'NN', 'NNS', 'VBD', 'NNS', 'IN', 'NN', 'NNS', 'IN', 'DT', 'NN', '.']"
49,"Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .","['NNP', 'NNP', 'VBD', 'CD', 'NNS', ',', 'RB', 'RBR', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
50,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .","['NNP', 'NNP', 'RB', 'IN', 'NNP', 'NNPS', 'VBD', 'IN', 'JJ', 'NN', 'IN', 'CD', 'NNS', ',', 'CD', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']"
51,"Third was Ford with 35,563 registrations , or 11.7 percent .","['JJ', 'VBD', 'NNP', 'IN', 'CD', 'NNS', ',', 'CC', 'CD', 'NN', '.']"
52,Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,"['RB', 'NNP', 'CC', 'NNP', 'VBD', 'JJR', 'NNS', 'IN', 'NNP', 'CD', 'VBN', 'TO', 'JJ', 'NN', 'POS', 'NNP', '.']"
53,"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .","['NN', 'VBD', 'CD', 'NNS', 'VBN', 'IN', 'CD', 'NNS', 'IN', 'NNP', 'DT', 'NN', 'RBR', '.']"
54,Porsche 's registrations fell to 554 from 643 .,"['NNP', 'POS', 'NNS', 'VBD', 'TO', 'CD', 'IN', 'CD', '.']"
55,GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .,"['JJ', 'NNS', 'VBP', 'NNP', 'NNP', 'TO', 'NNP', 'IN', 'NNS', '.']"
56,ATHENS 1996-08-22,"['NNS', 'CD']"
57,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .","['DT', 'NNP', 'JJ', 'NN', 'POS', 'JJ', 'NN', 'VBD', 'DT', 'JJ', 'NN', 'TO', 'NNP', 'NNP', 'VBZ', 'NNPS', 'TO', 'VB', 'VB', 'NNS', ',', 'PRP$', 'JJ', 'NN', 'NNP', 'NNP', 'VBD', 'NNS', '.']"
58,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .","['NNP', 'NNP', 'VBZ', 'NNP', 'VBZ', 'VBG', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', 'RB', 'IN', 'NNP', ',', 'VBD', 'NNP', '.']"
59,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4","[':', 'NNP', 'NNP', ',', 'NNP', 'NNP', 'NNP', 'CD']"
60,BayerVB sets C$ 100 million six-year bond .,"['NN', 'VBZ', '$', 'CD', 'CD', 'JJ', 'NN', '.']"
61,LONDON 1996-08-22,"['NNP', 'CD']"
62,The following bond was announced by lead manager Toronto Dominion .,"['DT', 'VBG', 'NN', 'VBD', 'VBN', 'IN', 'NN', 'NN', 'NNP', 'NNP', '.']"
63,BORROWER BAYERISCHE VEREINSBANK,"['NNP', 'NNP', 'NNP']"
64,AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02,"['NNP', '$', 'CD', 'NNP', 'NN', 'CD', 'NNP', 'CD']"
65,TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96,"['NNP', 'NNP', 'NNP', 'NNP', 'CD', 'NN', 'NNP', 'CD']"
66,FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP,"['NNP', 'NNS', 'CD', 'NNP', 'CD', 'NNP', 'CD', 'NNP']"
67,MOODY AA1 LISTING LUX PAY FREQ =,"['NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNS', 'SYM']"
68,S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA,"['NNP', 'SYM', 'NNP', '(', 'NNP', ')', 'CD', 'NNP', 'VBZ', 'NNP', 'SYM', 'NNP', 'SYM', 'VBN']"
69,NEG PLG NO CRS DEFLT NO FORCE MAJ =,"['NNP', 'NNP', 'DT', 'NNP', 'NNP', 'DT', 'VBP', 'MD', 'SYM']"
70,GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'SYM', 'NN', 'NNS', 'VBD']"
71,MGT / UND 0.275 SELL CONC 1.60 PRAECIP =,"['NNP', 'SYM', 'NNP', 'CD', 'VB', 'NNP', 'CD', 'NNP', 'SYM']"
72,UNDERLYING GOVT BOND 7.0 PCT SEPT 2001,"['VBG', 'JJ', 'NN', 'CD', 'NNP', 'NNP', 'CD']"
73,NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER,"['NNS', 'VBP', 'NNP', 'VBZ', 'VBZ', 'NNP', 'NN']"
74,-- London Newsroom +44 171 542 7658,"[':', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
75,Venantius sets $ 300 million January 1999 FRN .,"['JJ', 'NNS', '$', 'CD', 'CD', 'NNP', 'CD', 'NNP', '.']"
76,LONDON 1996-08-22,"['NNP', 'CD']"
77,The following floating-rate issue was announced by lead manager Lehman Brothers International .,"['DT', 'VBG', 'NN', 'NN', 'VBD', 'VBN', 'IN', 'NN', 'NN', 'NNP', 'NNPS', 'NNP', '.']"
78,BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY ),"['NNP', 'NNP', 'NNP', '(', 'NNP', 'NNP', 'NNP', 'NN', ')']"
79,AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99,"['NNP', '$', 'CD', 'NNP', 'NNP', ':', 'CD', 'NNP', 'NNP', 'CD']"
80,TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP']"
81,LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP,"['NNS', 'NNP', 'NNP', 'NNP', 'NNP', 'CD', 'NNP', 'NNS', 'CD', 'NNP']"
82,LAST S&P AA+ REOFFER =,"['NNP', 'NNP', 'NNP', 'NN', 'SYM']"
83,NOTES S SHORT FIRST COUPON,"['NNS', 'NNP', 'NNP', 'NNP', 'NNP']"
84,LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR,"['VBG', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'NNP', 'VBZ', 'NNP', 'SYM', 'NNP', 'SYM', 'NNP', 'SYM', 'VBN']"
85,NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'DT', 'VBP', 'MD', 'NNP', 'CD']"
86,GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNS', 'VBD']"
87,MGT / UND 5 BP SELL CONC 5 BP PRAECIP =,"['NNP', 'SYM', 'NNP', 'CD', 'NNP', 'VB', 'NNP', 'CD', 'NNP', 'NNP', 'SYM']"
88,NOTES ISSUED OFF EMTN PROGRAMME,"['NNS', 'VBD', 'NN', 'NNP', 'NNP']"
89,-- London Newsroom +44 171 542 8863,"[':', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
90,Port conditions update - Syria - Lloyds Shipping .,"['NN', 'NNS', 'VBP', ':', 'NNP', ':', 'NNP', 'NNP', '.']"
